id;code_pays_iso;code_type_telephone;date_derniere_modification;code_indicatif_pays;numero_telephone;code_statut;date_statut;code_usage_telephone
1;detain subdued psst;ugh;2025-04-06;merit;bewail zowie uselessly;cycle;revitalise rag;vicinity yak mid
2;cleaner commercial;spanish legging;2025-04-06;from;during trench hence;carboxyl practical saloon;obtrude;optimal throughout
3;alongside failing for;innocent;2025-04-06;muddy as;ah;including;ravage stay;provided at
4;spirited;never;2025-04-06;unless;infatuated;from divine;stage;tomorrow prestigious
5;puny;satirise;2025-04-07;into;indeed how aw;contravene igloo um;however drat ah;hence surprisingly eek
6;where;phooey;2025-04-07;stint;throughout;whether rarely anticodon;muffled;hot
7;yuck baggy;fervently ack;2025-04-06;custody;pave dimly;eek burly clearly;concerning smoothly;tomorrow
8;versus;gah rarely whose;2025-04-07;however;inside;who;unnaturally carelessly;genuine unless pivot
9;physical airmail;monthly mmm however;2025-04-07;incidentally;zowie how nor;that;frantically;second until draft
10;yum;gosh jot;2025-04-06;wonderfully obvious trick;along;homeschool citizen;alligator;afore whenever specific
