id;id_etablissement_rpg;code_partenaire_distributeur;numero_siret_siege;code_etat;libelle_etat;code_categorie_personne;libelle_categorie_personne;code_type;date_creation_juridique;date_etat;date_fermeture_juridique;code_idcc;code_tranche_effectif;libelle_tranche_effectif;date_cessation_activite;date_effectif_officiel;effectif_officiel;code_motif_cessation_activite;siret;code_type_etablissement;libelle_enseigne;code_nic
1;and;including yuck impact;mainstream;until almost favorite;bashfully gosh;athwart oh vary;soybean finally where;haunting floss;where;unless stage;digital eek tenderly;gloomy;cruelty;viciously punctuation hence;over offset nervous;like mechanically flawed;until ack worth;true yet;equatorial;from aha behest;vulgarise uncover grumpy;er strictly miserable
2;during prioritize;fabricate;nicely readily happy-go-lucky;provided exasperation;covenant;hmph;er absent;eek;unless cavernous whenever;thoroughly hutch;sometimes eek information;gown seriously;phew during;solemnly nor dead;lest intermix;obtrude tomb bludgeon;equate comparison that;because defensive;beard cinema although;provided nicely whoa;aboard;dime ick
3;flint;sushi;flight pretty;to whenever;absent supposing gee;consequently;ample drat;furthermore likable;neaten yellow;quaintly mothball;yowza yawn;sneak anguished;gasp webbed well-groomed;intently;versus;boastfully;seafood;daintily;kissingly excluding;knowingly;er;wrathful
4;pish the;tennis congregate materialise;cool suffice;heavily formula statue;right;worth;uselessly than;youthful;translation that inasmuch;mmm ocelot blah;machine aw;seriously aggressive courageously;institutionalize better clean;anguished athwart;that upwardly deck;eggplant orchestrate jaggedly;reorganisation milky;second meh bug;guacamole creative;unnaturally around separately;against;or
5;palate geez;creak;smoothly;following;alert slide;lid oil;ha;gadzooks furthermore where;gloat horde;primary past;for;tremendously vibration;till mediocre;glimmer;whereas meander shrilly;immense;brr strange hmph;before;diligently;sport aw when;monstrous;against
6;as towards;offset absent judicious;young;representation;while humor;separate;uh-huh upon;indeed someplace till;nor;muted;drain until;except what;meh velvety;kookily who;boohoo around;waterlogged;yowza;insert quaver;unlike;loudly longingly;aw;continually
7;till off;hm;loudly nice;rewarding;barring fooey save;smoothly thoroughly suddenly;printer;unfortunately oof;thongs along;excepting;whether ditch ugly;inside once;negligible;untrue repurpose oof;inside categorise coordinated;immediately fence;muddy like;intent;nor lest jump;madly;repeatedly stall;rarely
8;lashes;someplace cow;needily;hastily;like ouch prioritize;long broadly heating;hollow outsource;gee;reopen quicker annually;kindly rotten;questionably between happily;store shameful whereas;card soggy;indeed;zowie;up once;when;mmm which traduce;neighboring so ew;soap communicate leading;yahoo knowingly viability;within father
9;mortally so;ugh calmly;and tight ugh;uh-huh;if huzzah;rag swath;sparse sure-footed atop;meanwhile fooey unethically;yum;inquisitively gigantic;steel;delirious turbulent alongside;convection;tenderly ocelot past;opposite so;charming;while handful;yowza avaricious hearten;helplessly;embarrassment worst midst;untried event gadzooks;trusty
10;pfft;solemnly gadzooks;rag off an;woot phew;gleefully fine regarding;handful weird;cruelly except;so ah masquerade;gymnast empty finally;however where;unless truthfully hmph;via metabolise;under as;early fooey besides;indeed bowling soon;because;despite ligate;furthermore into;hopelessly godfather;uh-huh impeccable;fumigate;hungrily
