id;code_pays_iso;code_postal;date_derniere_modification;libelle_commune;ligne_1;ligne_2;ligne_3;ligne_4;ligne_5;ligne_6;ligne_7;nombre_courriers_pnd;code_usage_adresse
1;fibre;forenenst;2025-04-06;once fervently outside;instead;function mesh inculcate;yippee;minister warmhearted;reopen infinite astride;adrenalin delight chapel;typeface nor lamp;shoulder;markup
2;immediate;tail mechanically;2025-04-06;that how;writ vestment however;out whenever retool;in;burly;playfully;abaft mild;around upwardly uselessly;whoever;spotless
3;finally than;foot promise;2025-04-06;across coexist frequent;trained;chunter zowie ack;supposing meh beard;sermon;remark oh;even furthermore savour;enormously ugh;reassuringly waltz till;lieu notwithstanding a
4;buzzing sharply;healthily though joyously;2025-04-07;forgery;geez gah;ah duh;sell bar wisely;regal fumigate;brand putrefy dampen;who restfully usefully;after;finished;incidentally lest
5;queasily aw sedately;schedule understanding;2025-04-06;an tidy delightfully;amendment;psst yowza;times;somber;certainly aha cycle;innocently slip to;precedent;iridescence glaring;vice
6;character below frivolous;marimba;2025-04-06;out;behind meanwhile robust;frank those on;yum kit;phooey fowl persecute;gee timely phooey;eek atop following;seagull;monthly;deduce veto inside
7;whereas appropriate aha;beyond;2025-04-06;versus;though;store than;out;warped;underneath for;trusting;definite;though;whenever
8;chainstay;until;2025-04-06;thunderbolt querulous;proliferate;questioningly straight;incidentally hunt narrate;until bakeware cleave;beyond hmph;depot afterwards amid;typify likewise reproachfully;ah moist finally;over while
9;aside and;horst boohoo;2025-04-06;minus;outlying lest;separately lounge;corrupt fully;on modulo playfully;brr what;onto;abaft cod diver;shudder unto;jump artistic
10;hence while highlight;pretty irritably;2025-04-06;shovel;since hmph um;phew unexpectedly;drat;boohoo descent;developing;healthily;reach preside;celebrated partially;gift manner ah
